"title","gmd_name","edition","isbn_issn","publisher_name","publish_year","collation","series_title","call_number","language_name","place_name","classification","notes","image","sor","authors","topics","item_code"
"The Broken Roof","book","","","","","","","","English","","NONE","","","","<OXFORD>","","<KE833>"
"The Storm","book","","","","","","","","English","","NONE","","","","<OXFORD>","","<KE832>"
"Robin Hood","book","","","","","","","","English","","NONE","","","","<OXFORD>","","<KE831>"
"Lost in the Jungle","book","","","","","","","","English","","NONE","","","","<OXFORD>","","<KE830>"
"Fun at School","book","","","","","","","","English","","NONE","","","","<OXFORD>","","<KE829>"
"At Home","book","","","","","","","","English","","NONE","","","","<OXFORD>","","<KE828>"
"At the Park","book","","","","","","","","English","","NONE","","","","<OXFORD>","","<KE827>"
"FUN AT SCHOOL","book","","","","","","","","English","","NONE","","","","<OXFORD>","","<KE826>"
"At The Match","book","","","","","","","","English","","NONE","","","","<OXFORD>","","<KE825>"
"At The Farm","book","","","","","","","","English","","NONE","","","","<OXFORD>","","<KE824>"
"THE WAKEY WAKEY MACHINE","book","","","","","","","","English","","NONE","","","","<LADYBIRD>","","<KE823>"
"Submarine Adventure","book","","","","","","","","English","","NONE","","","","<OXFORD>","","<KE822>"
"Out in Town","book","","","","","","","","English","","NONE","","","","<OXFORD>","","<KE821>"
"American History","book","","","","","","","","English","","NONE","","","","<United States Information Agency>","","<ELT225>"
"COME IN","book","","","","","","","","English","","NONE","","","","<OXFORD>","","<KE820>"
"Making Friends","book","","","","","","","","English","","NONE","","","","<Moral Stories>","","<KE819>"
"Gran","book","","","","","","","","English","","NONE","","","","<OXFORD>","","<KE818>"
"In The Garden","book","","","","","","","","English","","NONE","","","","<OXFORD>","","<KE816>"
"The Play","book","","","","","","","","English","","NONE","","","","<OXFORD>","","<KE815>"
"The Human Body","book","","","","","","","","GUJRATI","","NONE","","","","<Grandreams Limited>","","<KE814>"
"mix it up","book","","","","","","","","English","","NONE","","","","<henre tullet>","","<KE846>"
"story of ali cogia merchant of baghdad","book","","","","","","","","English","","NONE","","","","<MACAW BOOKS>","","<KE845>"
"dinosaurs","book","","","","","","","","English","","NONE","","","","<DK PUBLICATIONS>","","<KE844>"
"adines igloo","book","","","","","","","","GUJRATI","","NONE","","","","<bounty book>","","<KE843>"
"daisy and the trouble with burglars","book","","","","","","","","English","","NONE","","","","<key gray>","","<KE842>"
"knee high to a knight","book","","","","","","","","English","","NONE","","","","<HILDA OFFEN>","","<KE841>"
"ruin and rising","book","","","","","","","","English","","NONE","","","","<leigh bardugo>","","<ELT224>"
"shadow and bone","book","","","","","","","","English","","NONE","","","","<leigh bardugo>","","<ELT223>"
"henry v","book","","","","","","","","GUJRATI","","NONE","","","","<WILLIAM SHAKESPEARE>","",""
"heidi","book","","","","","","","","English","","NONE","","","","<johanna spyri>","","<ELT222>"
"A wrinkle in time","book","","","","","","","","English","","NONE","","","","<Madeleine l'engle>","","<ELT221>"
"Men are from mars women from venus","book","","","","","","","","English","","NONE","","","","<John Gray>","","<ELT219>"
"roald dahl boy tales of childhood","book","","","","","","","","English","","NONE","","","","<Quentin Blake>","","<KE813>"
"Roald Dahl Going Solo","book","","","","","","","","English","","NONE","","","","<Quentin Blake>","","<KE812>"
"roald dahl billy and minpins","book","","","","","","","","English","","NONE","","","","<Quentin Blake>","","<KE811>"
"percy jackson and the lightning theif","book","","","","","","","","English","","NONE","","","","<rick riorden>","","<ELT218>"
"Better Than Before","book","","","","","","","","English","","NONE","","","","<lynn painter>","","<ELT217>"
"how to analyze people with dark psychology","book","","","","","","","","English","","NONE","","","","<will hawkins>","","<ELT216>"
"When Breath Becomes air","book","","","","","","","","English","","NONE","","","","<Paul kalanithi>","","<ELT215>"
"Family of Lairs","book","","","","","","","","English","","NONE","","","","<e.lockhart>","","<ELT214>"
"frankenstein","book","","","","","","","","English","","NONE","","","","<mary shelley>","","<ELT213>"
"I hope this doesn't find you","book","","","","","","","","English","","NONE","","","","<Ann Liang>","","<ELT212>"
"pakistan at the crossroad","book","","","","","","","","English","","NONE","","","","<christopher jaffrelot>","","<ELT211>"
"Amelia Jane Again","book","","","","","","","","English","","NONE","","","","<guid Blyton>","","<KE810>"
"the golden age : order of the golden dawn","book","","","","","","","","English","","NONE","","","","<aly maredia>","","<ELT210>"
"Before the Coffee gets Cold","book","","","","","","","","English","","NONE","","","","<Toshikazu Kawaguchi>","","<ELT209>"
"Kafka On the Shore","book","","","","","","","","English","","NONE","","","","<haruki Murakami>","","<ELT208>"
"Rock Paper Scissors","book","","","","","","","","English","","NONE","","","","<Alice Feeney>","","<ELT207>"
"Hell Bent Leigh Bardugo","book","","","","","","","","English","","NONE","","","","<leigh bardugo>","","<ELT203>"
"ninth house leigh bardugo","book","","","","","","","","English","","NONE","","","","<leigh bardugo>","","<ELT202>"
"Cooked KIngdom","book","","","","","","","","English","","NONE","","","","<leigh bardugo>","","<ELT201>"
"six of crows","book","","","","","","","","English","","NONE","","","","<leigh bardugo>","","<ELT200>"
"Goosebumps HorrorLand part 10","book","","","","","","","","English","","NONE","","","","<R.l.Stine>","","<KE809>"
